section	object_name	relkind	comment
candidate_object	aiworker.business_support_task_domain	r	
candidate_object	aiworker.business_support_task_domain_package_code_task_domain_code_key	i	
candidate_object	aiworker.business_support_task_domain_pkey	i	
candidate_object	aiworker.leader_mock_review_leader_task_code_key	i	
candidate_object	aiworker.manager_instruction_assignmen_task_code_assigned_role_layer_key	i	
candidate_object	aiworker.manager_instruction_task	r	
candidate_object	aiworker.manager_instruction_task_pkey	i	
candidate_object	aiworker.manager_instruction_task_task_code_key	i	
candidate_object	aiworker.manager_mock_final_gate_manager_gate_task_code_key	i	
candidate_object	aiworker.worker_mock_output_worker_task_code_key	i	
candidate_object	business.aicm_department_task_ledger	r	
candidate_object	business.aicm_department_task_ledger_pkey	i	
candidate_object	business.aicm_manager_major_work_item	r	AICompanyManager Manager layer. Decomposes policy into 大項目 and hands off to department/section/Leader. Same design shape can later be expanded as WBS app wbs_major_item.
candidate_object	business.aicm_manager_major_work_item_pkey	i	
candidate_object	business.aicm_task_file_metadata	r	
candidate_object	business.aicm_task_file_metadata_pkey	i	
candidate_object	business.aicm_task_ledger_csv_import_batch	r	
candidate_object	business.aicm_task_ledger_csv_import_batch_pkey	i	
candidate_object	business.aicm_task_ledger_csv_import_row	r	
candidate_object	business.aicm_task_ledger_csv_import_row_pkey	i	
candidate_object	business.aicm_user_company_department_task_ledger	r	
candidate_object	business.aicm_user_company_department_task_ledger_pkey	i	
candidate_object	business.idx_aicm_leader_middle_major	i	
candidate_object	business.idx_aicm_manager_major_department_section	i	
candidate_object	business.idx_aicm_manager_major_owner_company	i	
candidate_object	business.idx_aicm_manager_major_policy	i	
candidate_object	business.idx_aicm_manager_major_status	i	
candidate_object	business.idx_aicm_task_ledger_company_department	i	
candidate_object	business.idx_aicm_user_company_task_ledger_department	i	
candidate_object	business.idx_aicm_user_company_task_ledger_owner_company	i	
candidate_object	business.idx_aicm_user_company_task_ledger_status	i	
candidate_object	business.idx_task_user	i	
candidate_object	business.idx_task_user_id	i	
candidate_object	business.robot_pool_sync_ledger	r	
candidate_object	business.robot_pool_sync_ledger_pkey	i	
candidate_object	business.task	r	
candidate_object	business.task_pkey	i	
candidate_object	business.vw_aicm_pmlw_deliverable_requirement_display	v	
candidate_object	business.vw_aicm_pmlw_leader_middle_display	v	
candidate_object	business.vw_aicm_pmlw_major_work_display	v	
candidate_object	business.vw_aicm_pmlw_president_policy_display	v	
candidate_object	business.vw_aicm_pmlw_worker_work_unit_display	v	
candidate_object	business.vw_aicm_pmlw_workflow_tree	v	
candidate_object	business.vw_aicm_user_company_department_task_ledger_display	v	
(44 rows)
section	object_name	ordinal_position	column_name	data_type	is_nullable
candidate_column	aiworker.business_support_task_domain	1	task_domain_id	uuid	NO
candidate_column	aiworker.business_support_task_domain	10	updated_at	timestamp with time zone	NO
candidate_column	aiworker.business_support_task_domain	2	package_code	text	NO
candidate_column	aiworker.business_support_task_domain	3	task_domain_code	text	NO
candidate_column	aiworker.business_support_task_domain	4	task_domain_name	text	NO
candidate_column	aiworker.business_support_task_domain	5	task_domain_name_ja	text	NO
candidate_column	aiworker.business_support_task_domain	6	cx_topic_code	text	NO
candidate_column	aiworker.business_support_task_domain	7	sort_order	integer	NO
candidate_column	aiworker.business_support_task_domain	8	status_code	text	NO
candidate_column	aiworker.business_support_task_domain	9	created_at	timestamp with time zone	NO
candidate_column	aiworker.manager_instruction_task	1	task_id	uuid	NO
candidate_column	aiworker.manager_instruction_task	10	action_code	text	NO
candidate_column	aiworker.manager_instruction_task	11	expected_output	text	NO
candidate_column	aiworker.manager_instruction_task	12	task_status_code	text	NO
candidate_column	aiworker.manager_instruction_task	13	safety_note	text	NO
candidate_column	aiworker.manager_instruction_task	14	created_at	timestamp with time zone	NO
candidate_column	aiworker.manager_instruction_task	15	updated_at	timestamp with time zone	NO
candidate_column	aiworker.manager_instruction_task	2	manager_plan_code	text	NO
candidate_column	aiworker.manager_instruction_task	3	task_code	text	NO
candidate_column	aiworker.manager_instruction_task	4	task_order	integer	NO
candidate_column	aiworker.manager_instruction_task	5	task_title	text	NO
candidate_column	aiworker.manager_instruction_task	6	task_detail	text	NO
candidate_column	aiworker.manager_instruction_task	7	task_domain_code	text	NO
candidate_column	aiworker.manager_instruction_task	8	assigned_role_layer_code	text	NO
candidate_column	aiworker.manager_instruction_task	9	assigned_model_selector_text	text	NO
candidate_column	business.aicm_department_task_ledger	1	ledger_row_id	uuid	NO
candidate_column	business.aicm_department_task_ledger	10	responsible_role	text	NO
candidate_column	business.aicm_department_task_ledger	11	responsible_robot_id	uuid	YES
candidate_column	business.aicm_department_task_ledger	12	source_type	text	NO
candidate_column	business.aicm_department_task_ledger	13	handoff_link	text	NO
candidate_column	business.aicm_department_task_ledger	14	note	text	NO
candidate_column	business.aicm_department_task_ledger	15	created_at	timestamp with time zone	NO
candidate_column	business.aicm_department_task_ledger	16	updated_at	timestamp with time zone	NO
candidate_column	business.aicm_department_task_ledger	2	company_id	uuid	NO
candidate_column	business.aicm_department_task_ledger	3	department_id	uuid	NO
candidate_column	business.aicm_department_task_ledger	4	deliverable_name	text	NO
candidate_column	business.aicm_department_task_ledger	5	task_name	text	NO
candidate_column	business.aicm_department_task_ledger	6	work_type	text	NO
candidate_column	business.aicm_department_task_ledger	7	task_status	text	NO
candidate_column	business.aicm_department_task_ledger	8	priority	text	NO
candidate_column	business.aicm_department_task_ledger	9	due_date	date	YES
candidate_column	business.aicm_manager_major_work_item	1	aicm_manager_major_work_item_id	uuid	NO
candidate_column	business.aicm_manager_major_work_item	10	manager_robot_label	text	NO
candidate_column	business.aicm_manager_major_work_item	11	assigned_leader_label	text	NO
candidate_column	business.aicm_manager_major_work_item	12	decomposition_status_code	text	NO
candidate_column	business.aicm_manager_major_work_item	13	handoff_status_code	text	NO
candidate_column	business.aicm_manager_major_work_item	14	priority_code	text	NO
candidate_column	business.aicm_manager_major_work_item	15	due_date	date	YES
candidate_column	business.aicm_manager_major_work_item	16	reference_files_text	text	NO
candidate_column	business.aicm_manager_major_work_item	17	supplemental_materials_text	text	NO
candidate_column	business.aicm_manager_major_work_item	18	applicable_rules_text	text	NO
candidate_column	business.aicm_manager_major_work_item	19	note	text	NO
candidate_column	business.aicm_manager_major_work_item	2	owner_civilization_id	uuid	NO
candidate_column	business.aicm_manager_major_work_item	20	handoff_link	text	NO
candidate_column	business.aicm_manager_major_work_item	21	display_order	integer	NO
candidate_column	business.aicm_manager_major_work_item	22	metadata_jsonb	jsonb	NO
candidate_column	business.aicm_manager_major_work_item	23	created_at	timestamp with time zone	NO
candidate_column	business.aicm_manager_major_work_item	24	updated_at	timestamp with time zone	NO
candidate_column	business.aicm_manager_major_work_item	3	aicm_user_company_id	uuid	NO
candidate_column	business.aicm_manager_major_work_item	4	aicm_president_policy_id	uuid	YES
candidate_column	business.aicm_manager_major_work_item	5	aicm_user_company_department_id	uuid	YES
candidate_column	business.aicm_manager_major_work_item	6	aicm_user_company_section_id	uuid	YES
candidate_column	business.aicm_manager_major_work_item	7	major_item_name	text	NO
candidate_column	business.aicm_manager_major_work_item	8	major_item_description	text	NO
candidate_column	business.aicm_manager_major_work_item	9	source_route_code	text	NO
candidate_column	business.aicm_task_file_metadata	1	task_file_id	uuid	NO
candidate_column	business.aicm_task_file_metadata	10	file_size_bytes	bigint	NO
candidate_column	business.aicm_task_file_metadata	11	note	text	NO
candidate_column	business.aicm_task_file_metadata	12	created_at	timestamp with time zone	NO
candidate_column	business.aicm_task_file_metadata	2	company_id	uuid	NO
candidate_column	business.aicm_task_file_metadata	3	department_id	uuid	NO
candidate_column	business.aicm_task_file_metadata	4	ledger_row_id	uuid	YES
candidate_column	business.aicm_task_file_metadata	5	file_role	text	NO
candidate_column	business.aicm_task_file_metadata	6	file_name	text	NO
candidate_column	business.aicm_task_file_metadata	7	storage_scope	text	NO
candidate_column	business.aicm_task_file_metadata	8	storage_ref	text	YES
candidate_column	business.aicm_task_file_metadata	9	mime_type	text	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	1	csv_import_batch_id	uuid	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	2	company_id	uuid	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	3	department_id	uuid	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	4	original_file_name	text	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	5	import_status	text	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	6	imported_count	integer	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	7	invalid_count	integer	NO
candidate_column	business.aicm_task_ledger_csv_import_batch	8	created_by	uuid	YES
candidate_column	business.aicm_task_ledger_csv_import_batch	9	created_at	timestamp with time zone	NO
candidate_column	business.aicm_task_ledger_csv_import_row	1	csv_import_row_id	uuid	NO
candidate_column	business.aicm_task_ledger_csv_import_row	2	csv_import_batch_id	uuid	NO
candidate_column	business.aicm_task_ledger_csv_import_row	3	row_number	integer	NO
candidate_column	business.aicm_task_ledger_csv_import_row	4	raw_payload	jsonb	NO
candidate_column	business.aicm_task_ledger_csv_import_row	5	validation_status	text	NO
candidate_column	business.aicm_task_ledger_csv_import_row	6	validation_errors	jsonb	NO
candidate_column	business.aicm_task_ledger_csv_import_row	7	ledger_row_id	uuid	YES
candidate_column	business.aicm_task_ledger_csv_import_row	8	created_at	timestamp with time zone	NO
candidate_column	business.aicm_user_company_department_task_ledger	1	aicm_user_company_department_task_ledger_id	uuid	NO
candidate_column	business.aicm_user_company_department_task_ledger	10	responsible_robot_label	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	11	task_status_code	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	12	priority_code	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	13	due_date	date	YES
candidate_column	business.aicm_user_company_department_task_ledger	14	reference_files_text	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	15	supplemental_materials_text	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	16	applicable_rules_text	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	17	note	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	18	handoff_link	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	19	display_order	integer	NO
candidate_column	business.aicm_user_company_department_task_ledger	2	owner_civilization_id	uuid	NO
candidate_column	business.aicm_user_company_department_task_ledger	20	metadata_jsonb	jsonb	NO
candidate_column	business.aicm_user_company_department_task_ledger	21	created_at	timestamp with time zone	NO
candidate_column	business.aicm_user_company_department_task_ledger	22	updated_at	timestamp with time zone	NO
candidate_column	business.aicm_user_company_department_task_ledger	3	aicm_user_company_id	uuid	NO
candidate_column	business.aicm_user_company_department_task_ledger	4	aicm_user_company_department_id	uuid	NO
candidate_column	business.aicm_user_company_department_task_ledger	5	aicm_user_company_section_id	uuid	YES
candidate_column	business.aicm_user_company_department_task_ledger	6	deliverable_name	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	7	task_name	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	8	work_type_code	text	NO
candidate_column	business.aicm_user_company_department_task_ledger	9	responsible_role_code	text	NO
candidate_column	business.robot_pool_sync_ledger	1	robot_pool_sync_ledger_id	uuid	NO
candidate_column	business.robot_pool_sync_ledger	2	sync_source_code	text	NO
candidate_column	business.robot_pool_sync_ledger	3	aiworker_model_code	text	NO
candidate_column	business.robot_pool_sync_ledger	4	robot_pool_id	uuid	YES
candidate_column	business.robot_pool_sync_ledger	5	sync_status_code	text	NO
candidate_column	business.robot_pool_sync_ledger	6	note	text	YES
candidate_column	business.robot_pool_sync_ledger	7	metadata_jsonb	jsonb	NO
candidate_column	business.robot_pool_sync_ledger	8	created_at	timestamp with time zone	NO
candidate_column	business.task	1	id	uuid	NO
candidate_column	business.task	2	user_id	uuid	NO
candidate_column	business.task	3	title	text	NO
candidate_column	business.task	4	description	text	YES
candidate_column	business.task	5	status	text	NO
candidate_column	business.task	6	due_date	timestamp with time zone	YES
candidate_column	business.task	7	created_at	timestamp with time zone	NO
candidate_column	business.task	8	updated_at	timestamp with time zone	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	1	aicm_leader_deliverable_requirement_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	10	deliverable_type_code	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	11	deliverable_description	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	12	required_quality_text	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	13	acceptance_criteria_text	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	14	review_required_flag	boolean	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	15	requirement_status_code	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	16	priority_code	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	17	due_date	date	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	18	reference_files_text	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	19	supplemental_materials_text	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	2	owner_civilization_id	uuid	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	20	applicable_rules_text	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	21	note	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	22	handoff_link	text	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	23	display_order	integer	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	24	metadata_jsonb	jsonb	YES
candidate_column	business.vw_aicm_pmlw_deliverable_requirement_display	25	created_at	timestamp with time zone	YES
